Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
Crown Heights-Utica Avenue	40.668897	-73.932942	"3,4"	Hugo Consuegra	Good Morning and Good Night	2004	"Ceramic tiles on platform walls, bronze medallions in gates"	"Hugo Consuegra was already serving as the architect for the Crown Heights - Utica Avenue subway station when his responsibilities were expanded to include the addition of artwork.  The art includes a series of ceramic tile panels on the platform walls and bronze medallions that revolve around the theme of sun and moon.  His {Good Morning and Good Night} mirror the pedestrian flow of riders going to and from their homes each day.  {Good Morning} is on the inbound side of the station, which fills in the morning hours and features images of the sun rising, while {Good Night} welcomes travelers home as the evening arrives with scenes of the moon high above the night sky."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=3&station=1"">Good Morning and Good Night</a>"
Sutter Av	40.669367	-73.901975	L	Takayo Noda	The Habitat for the Yellow Bird	2007	Faceted glass in platform windscreens			"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=L&station=1"">The Habitat for the Yellow Bird</a>"
Botantic Garden /Franklin Av	40.670343	-73.959245	"S,2,3,4,5"	Millie Burns	IL7/Square	1999	Wrought iron railings at station exterior	"At the Botanic Garden station, community representatives, the station architectural team, and artist Millie Burns created a sensitive visual transition from street to mini-park surrounding the entrance and finally into the transit facility itself.  This is achieved by fences and railing designs.  The tall and wavy metal constructions echo both the trees and stately apartment buildings lining Eastern Parkway and harmonize with the modern lines of the station house.  Most importantl,Y they lead the way into the station and provide aesthetic uplift for transit users.  ?The communities that border Eastern Parkway and the Botanic Garden are blessed with a rich natural bount,Y? Burns says.  ?We are surrounded by trees, shrubs, plants, and vines.  The fences and railing designs are drawn from what I see in this neighborhood.  {IL7/Square} is about growth, a reaching toward the sun.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">IL7/Square</a>"
Eastern Parkway-Brooklyn Museum	40.671987	-73.964375	"2,3"	Jane Arts for Transit Collaborative	New York City Architectural Artifacts from the Collection of the Brooklyn Museum	2004	Terra cotta artifacts and glass mosaic on mezzanine and stairway walls	"The Brooklyn Museum has long served as a repository for ornamental architectural forms salvaged from significant buildings that were being demolished.  Seventy-eight of these artifacts are installed in the Eastern Parkway/Brooklyn Museum subway station, enriching the environment and creating an introduction to the museum above.  Among these are plaques, lunettes, keystones, and other decorative elements that represent the city's architectural heritage.  The project is a successful example of institutional collaboration.  The Brooklyn Museum, working with MTA Arts for Transit and Vel Riberto Consulting, selected the artifacts and donated them to the project.  New mosaic designs were added, to frame the objects and to make connections with the architecture of the station."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">New York City Architectural Artifacts from the Collection of the Brooklyn Museum</a>"
Park Place	40.674772	-73.957624	S	Isha Shabaka	Units of the Free	1999	Wrought iron railings throughout station	"Railings are a functional requirement in the transit environment, but under Isha Shabaka's guiding hand, they are also powerfully expressive.  Shabaka designed the railings to highlight the role of the station as an important neighborhood place.  The thin and elegant diagonals of the rail create a see-through effect that helps open up the subway to the community.  A large-scale image of an African mask is boldly designed in open metalwork.  Its nose is a starkly geometric triangle, that symbolizes power and movement in some traditional cultures.  Other shapes in the mask are the changeable curving lines, that allow the form to appear to be variously awake or asleep, vigilant or distracted,  ?commuters,? Shakaba says.  ?Sometimes they may be aware and thinking when waiting for the train, or just relaxing for a moment.  I'm showing both states.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=S&station=1"">Units of the Free</a>"
Grand Army Plaza	40.675235	-73.971046	"2,3"	Jane Greengold	Wings for the IRT: The Irresistible Romance of Travel	1995	Bronze and terra cotta plaques on mezzanine walls	"The bronze and terra cotta art for this station references the triumphal Soldiers and Sailors Memorial Arch located above the Grand Army Plaza subway station,  which celebrates the Union army's victory in the Civil War.  Located opposite Brooklyn's Prospect Park, it is topped by a dramatic tableau of two Winged Victories, the ancient symbol of triumph, and four rearing horses leading a chariot carrying the figures of Columbia.  The arch is reflected Jane Greengold's {Wings for the IRT: The Irresistible Romance of Travel}.  Terra cotta bas relief mosaics of a Winged Victory appear at the base of each of the station's entrance staircases; three bronze Winged Victory plaques and a large terra cotta bas relief mosaic of two Victories leading a subway car also adorn the station.  Appropriatel,Y the relief also alludes to the history of the subway system; the first logo for the Interboro Rapid Transit (IRT) was ?{Flying Wheels},? a subway car with wings, and the artwork's title includes the initials of the IRT."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Wings for the IRT: The Irresistible Romance of Travel</a>"
Alabama Av	40.676992	-73.898654	"J,Z"	Scott Redden	Untitled	2007	Faceted glass in platform windscreens	"Images of rural America evoke a nostalgia past in Scott Redden's tranquil counterpoint to the bustle of a city at the Alabama Avenue platform.  The colorful glass windows take the commuter on a visual journey through idealized landscapes with blue trees, red barns, and roosters, and even an archetypal yellow truck traveling a country road."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Untitled</a>"
Union St	40.677316	-73.98311	"M,R"	Emmett Wigglesworth	CommUnion	1994	Porcelain enamel on platform walls; tile design on track walls	"In this series of 22 panels set into recessed areas above the subway station signs, symbolic figures move about and interact with one another. Although separated by spacing between panels, each is linked by their graphic quality to form a relationship with those nearby.  The artist explains his concept:  ?As a unit they form a composite to symbolically show as in a 'union' the best of each part of racial, religious, and cultural life make the most positive picture.  The community above the Union Street station is mirrored in these panels because they are successfully working at making their community into this reality.?  Additionall,Y the station has a series of track wall panels designed by the artist."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=M&station=1"">CommUnion</a>"
Van Siclen Av	40.678024	-73.891688	"J,Z"	Barbara Ellmann	THE VIEW FROM HERE	2007	Faceted glass in platform windscreens	"Barbara Ellmann created colorful geometric patterns abstracted from the landscape and elements within the surrounding neighborhood.  Through site visits, Barbara documented  intersecting buildings, and various intersections and patterns to create her  compositions, which were fabricated into 21 faceted glass panels and installed in windscreens on the station platforms.   The works fill the platform with jewel-like color while protecting transit customers from the wind."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">THE VIEW FROM HERE</a>"
Broadway Junction	40.678334	-73.905316	"A,C,J,L,Z"	Al Loving	"Brooklyn, New Morning"	2001	Faceted glass throughout complex; glass mosaic on upper mezzanine wall	"{Brooklyn, New Morning} is an expansive work that consists of 75 unique glass panels arranged into a series  throughout the complex and a seven-by-ten-foot glass mosaic mural wall. *Al Loving said the work has a ?spirit of interdependence and interconnection as an important aspect of the American experience,? reflecting that this large station serves as a crossroads.  Working with natural light, he achieves a lively and engaging atmosphere, and the colored light and flowing forms create a sense of optimism and well-being."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Brooklyn, New Morning</a>"
Utica Av	40.679364	-73.930729	"A,C"	Jimmy James Greene	Children's Cathedral	1996	Ceramic mosaic and iron grillwork in passageways leading to platforms	"Dominating one of Jimmy James Greene's huge mosaic panels in the Utica Avenue station is a plump yellow angel on rollerblades.  Perhaps more than any image in the ten panels that compose {Children's Cathedral}, this demonstrates the artist's intentions:  to reflect the desires, dreams and memories of the community's children in their own drawings.  ?At first,? he says, ?I talked with the kids about how they pla,Y learn, pra,Y and celebrate.  Then they drew.?  What emerged were images of the neighborhood: shops, a woman pushing a baby carriage, a teacher in class, plants, flowers, and, most of all, children in action: singing in choir, jumping rope, reading, riding bikes.  The artist took hundreds of the children's images and arranged them into eight groupings, adding color to the pencil drawings.  ?They were the soloists,? he says, ?I was the orchestra leader.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Children's Cathedral</a>"
Cleveland St	40.679947	-73.884639	"J,Z"	Amy Cheng	Las Flores	2007	Faceted glass in platform windscreens	"Located within the platform windscreens, colorful floral patterned glasswork embellishes the Cleveland Street station.  The artist combines her swirling patterns, bright and radiant pastel tones with traditional folk decorative motifs to create her unique compositions.   She hopes they convey positive thoughts of peace, prosperity and stability to the neighborhood."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Las Flores</a>"
Franklin Av	40.680596	-73.955827	"C,S"	Eric Pryor	Life and Continued Growth	1999	Faceted glass on platform wall	"In {Life and Continued Growth}, Eric Pryor's 29 faceted glass windows use both traditional African and contemporary African American images.  Antelope horns signify movement and are a symbol for material prosperity.  Butterflies signify the life cycle, from gestation to birth to the change into adulthood.  The importance of music and rhythm are shown through African drums, a saxophone, and trumpets, rendered in vivid red, gold, and purple in contrast to the receding shades of green, blue and turquoise.  ?The Franklin Avenue-Fulton Street area's rich African American heritage is being reborn,? says Pryor. ?Change and opportunity are arriving and the shuttle line both encourages and reflects how the community's new optimism.  {Life and Continued Growth} emerges from a spirit that is rooted in traditional African-American culture and the new energy that is making it soar again.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=C&station=1"">Life and Continued Growth</a>"
